Station,Konfiguration,MAE,RMSE,MASE,MAPE %,MAE_8h,RMSE_8h,MASE_8h,MAPE_8h,MAE_24h,RMSE_24h,MASE_24h,MAPE_24h,MAE_48h,RMSE_48h,MASE_48h,MAPE_48h,MAE_72h,RMSE_72h,MASE_72h,MAPE_72h
Changping,Basis + Feiertage,66.80481351581783,97.76401317601102,1.241560713052371,99.68746604940728,55.35728356420282,55.94700667967571,1.028809524905573,77.69641264016516,76.48014777628036,78.88917107455394,1.4213758232404357,79.92706345676423,95.76869836296491,100.46893012184313,1.7798515880815498,84.17816063051534,134.80330228745578,151.43504056718498,2.505305760193454,87.54947173957865
Changping,Basis + Feiertage + Regressoren,60.91463604332885,89.51427675269579,1.1320923595329515,94.70310647256368,23.942346523433926,26.234335877157964,0.444966092372119,32.14847157468238,27.0041281851733,28.862651404839333,0.5018689953681693,28.35099027713194,31.768849229880004,35.413557856106024,0.5904208548290297,27.860067213940415,48.600560224765594,61.068262302047486,0.9032365039551743,29.881377304243006
Changping,Behandelt + Feiertage + Regressoren,43.971982752371126,68.74307242963671,0.8172148590375735,77.10463283087286,13.48296928244103,17.164530873838302,0.25057962256577626,17.19648638610569,16.220382955650205,19.16008826013892,0.3014541792505901,16.416192856311604,23.310750945001445,27.495888736454848,0.43322795232726,20.158108060727688,39.32604049210844,53.157759688451684,0.7308704912909874,23.02557435922921
Changping,Behandelt + FT + Reg + Log,39.80601372938487,68.26136084815263,0.7397907454367142,57.751108449868184,41.14196560638514,42.691765413001335,0.7646192761625634,56.62030030448977,49.12571507006097,50.641203575887594,0.9129964537233666,51.90176890764264,53.521356296440594,57.662101846315,0.9946890020313427,47.11442735804124,59.493805809264735,67.43061177506037,1.1056863731123276,42.36308673993863
Dingling,Seasonal Naive (Baseline),52.76981436181779,81.76195958676863,0.9966470821015753,146.78542497693786,63.75,63.90031298827886,1.2040264354226686,88.80288623454653,70.79166666666667,72.38646921853508,1.3370202050870028,72.3606623123228,86.97916666666667,94.95819011738993,1.6427484862384452,72.75410329266748,131.80555555555554,154.24850680590671,2.4893705603836875,78.1395924603215
Dingling,Seasonal Naive (Vorjahr),62.81922754946728,92.91732941014865,1.1864472254492642,270.9447930504243,41.5,43.14800111245016,0.7837976010986785,58.08082093037545,74.54166666666667,84.86386156662917,1.4078452895236304,68.82872554242715,100.22916666666667,110.66494100060174,1.8929971179145293,81.07497355336291,144.75,168.55142637584925,2.7338482592538242,84.87027409888411
Dingling,Basis (univariat),65.20240775776244,96.61986273120222,1.2314576093106522,99.29563435993617,48.23930283250772,48.31927768714264,0.9110807190070418,67.33371575086437,75.27166869022676,79.73842001263297,1.4216326108456443,72.61312471229438,93.9572260267487,101.24439144217843,1.7745409244735408,76.53911793616425,140.65182811255985,164.95782147350033,2.6564473605968213,81.823241596541
Dingling,Basis + Feiertage,65.45461434055368,96.94994052148883,1.2362209566497622,99.86795966277377,59.613597665909964,59.682228710565006,1.125903490202458,83.24202076307164,87.24960410989105,91.25814837454992,1.6478561541720964,85.18762845216462,106.2316416499832,112.83125392997455,2.006363997253766,88.5530995939277,153.02067312267712,175.7983483709341,2.890053891856852,91.66640989307078
Dingling,Basis + Feiertage + Regressoren,60.91408096349278,89.55550959440698,1.1504653140317185,96.51435530249836,27.499996320567245,27.93985472944618,0.519383883042966,38.115549053761725,37.45417826820637,40.15385772450191,0.7073854235600581,36.572845613077895,44.02874628493413,49.319968297727144,0.8315572462051499,40.952194042967314,67.53584316748895,86.109388810957,1.275528478622998,41.27393635653424
Dingling,Behandelt + Feiertage + Regressoren,51.53935124069839,76.69881550199663,0.9734077075817251,89.71108863046958,17.64495804273716,18.350543089333488,0.33325483820202934,24.33361782874687,27.755403936254627,31.384047079830502,0.5242076872954504,26.230854864102206,36.15364161010775,42.25940850160504,0.6828225919273209,34.683689974450765,58.92881814373872,78.98272316144741,1.1129702722082575,35.61361185651212
